,#,Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2005,2000,1995,1990,1980,1970,1960,1950,Peakproduction,Peakyear
25,25,Argentina,466649.00,472158.00,472776.00,533683.00,617329.00,791007.00,764495.00,828771.00,716540.00,319755.00,339632.00,286000.00,99639.00,281793.00,219599.00,89000.00,,828771.00,2011
26,26,Hungary,430988.00,505400.00,472000.00,495370.00,437599.00,222400.00,217840.00,202800.00,211461.00,152015.00,137398.00,53000.00,,,,3000.00,,505400.00,2017
27,27,Morocco,402085.00,376286.00,345106.00,288329.00,231986.00,167452.00,108743.00,59477.00,42066.00,33992.00,31314.00,,,,,,,402085.00,2018
28,28,Belgium,308493.00,379140.00,399427.00,409340.00,516832.00,503504.00,538848.00,595084.00,555302.00,926515.00,1033294.00,468000.00,1248290.00,923426.00,296000.00,1000.00,,1248290.00,1990
29,29,Portugal,294366.00,175544.00,143096.00,156626.00,161509.00,154016.00,163561.00,192242.00,158723.00,226834.00,245784.00,57000.00,26000.00,91000.00,,,,294366.00,2018
30,30,Pakistan,269700.00,230250.00,214650.00,229686.00,148746.00,134145.00,165700.00,162194.00,152970.00,153393.00,31500.00,,,,,,,230250.00,2017
31,31,Taiwan,253241.00,291563.00,309531.00,351085.00,379223.00,338720.00,339038.00,343296.00,303456.00,446345.00,361800.00,406000.00,382000.00,,,,,446345.00,2005
32,32,Vietnam,,236161.00,236161.00,50000.00,48871.00,37576.00,40470.00,31181.00,42286.00,31600.00,6862.00,,,,,,,236161.00,2017
33,33,Sweden,,226000.00,205374.00,188987.00,154173.00,161080.00,162814.00,188969.00,217084.00,339229.00,301343.00,490000.00,344000.00,317000.00,311000.00,129000.00,28000.00,494000.00,1999
34,34,Uzbekistan,220667.00,140247.00,88152.00,185400.00,245660.00,246641.00,164180.00,179560.00,156880.00,94437.00,32273.00,,,,,,,246641.00,2013
35,35,Slovenia,209378.00,189852.00,133702.00,133092.00,118591.00,93734.00,130949.00,174119.00,205711.00,187247.00,98953.00,,,,,,,212749.00,2009
36,36,Austria,164900.00,99880.00,108000.00,125500.00,154340.00,166428.00,143060.00,152505.00,104814.00,253279.00,141026.00,68000.00,20000.00,14000.00,7000.00,13000.00,,274932.00,2006
37,37,Netherlands,,157280.00,44430.00,44122.00,29807.00,29183.00,57462.00,73151.00,94132.00,102204.00,98823.00,132000.00,111000.00,97000.00,79000.00,19000.00,,307220.00,1999
38,38,Philippines,79763.00,141251.00,116686.00,112493.00,106938.00,52260.00,55360.00,53921.00,65625.00,64492.00,38877.00,107000.00,,,,,,213402.00,2007
39,39,Finland,112104.00,91598.00,55280.00,69053.00,45035.00,7703.00,2900.00,2540.00,6665.00,21644.00,38926.00,,,,,,,112104.00,2018
40,40,Australia,,98632.00,161294.00,173009.00,180311.00,215926.00,209730.00,224193.00,243495.00,394713.00,347122.00,331000.00,284000.00,361000.00,475000.00,204000.00,58000.00,498000.00,1974
41,41,Colombia,,74994.00,79036.00,78070.00,71137.00,70686.00,32466.00,41714.00,109333.00,23979.00,?,34850.00,43000.00,,,,,109333.00,2010
42,42,Egypt,71600.00,36640.00,36230.00,36000.00,42515.00,39050.00,56480.00,81731.00,116683.00,123425.00,59765.00,,,,,,,123425.00,2005
43,43,Algeria,,60606.00,42008.00,19346.00,1244.00,0.00,?,?,?,?,?,?,?,?,?,?,?,??,??
44,44,Serbia,56449.00,79912.00,80320.00,83630.00,103150.00,113878.00,11032.00,11023.00,18033.00,14179.00,12740.00,,,,,,,??,??
45,45,Kazakhstan,,19071.00,10651.00,14477.00,40162.00,40684.00,19186.00,8195.00,3176.00,?,?,,,,,,,40684.00,2013
46,46,Belarus,,13428.00,16864.00,15033.00,22990.00,22926.00,25425.00,24343.00,15249.00,26995.00,19324.00,,,40100.00,29800.00,18700.00,2400.00,40100.00,1980
47,47,Ukraine,6623.00,9542.00,5264.00,8244.00,28751.00,50449.00,76281.00,104654.00,83133.00,215759.00,31255.00,,,206700.00,115700.00,7500.00,18300.00,423127.00,2008
48,48,Ecuador,2700.00,2700.00,4800.00,5986.00,24322.00,24322.00,24322.00,22335.00,32254.00,41047.00,,,,,,,,41047.00,2000
49,49,Tunisia,1700.00,1940.00,1940.00,540.00,540.00,1860.00,1860.00,1860.00,0.00,?,?,,,,,,,??,??
50,50,Venezuela,1774.00,2850.00,18300.00,19759.00,71753.00,104083.00,102409.00,104357.00,135425.00,21190.00,96400.00,,153000.00,,,,,175458.00,2006
51,51,Bangladesh,580.00,580.00,540.00,536.00,?,?,?,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,??,??
52,EX,Bulgaria,?,?,?,?,2508.00,2200.00,0.00,0.00,0.00,0.00,2200.00,?,21000.00,12000.00,,,,21000.00,1990
53,EX,North Korea,?,?,?,?,?,?,?,?,?,?,,,,,,,3000.00,??,??
54,EX,New Zealand,?,?,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,?,?,90000.00,55178.00,32409.00,9731.00,,123000.00,1982
55,EX,Ireland,?,?,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,?,?,47000.00,,,,,47000.00,1981
56,,Azerbaijan,1286.00,247.00,415.00,2145.00,669.00,?,?,?,?,?,?,,,,,,,2145.00,2014
57,,Zimbabwe,0.00,0.00,0.00,0.00,829.00,829.00,829.00,257.00,960.00,792.00,,,,,,,,??,??
58,,Kenya,0.00,0.00,0.00,0.00,3080.00,3080.00,2945.00,0.00,405.00,288.00,,,,,,,,??,??
59,,Uruguay,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14404.00,,,,,,,,??,??
60,,Chile,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4700.00,6660.00,5245.00,,,,,,,,10804.00,2007
61,,Nigeria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2937.00,7834.00,,,,,,,,??,??
62,,Peru,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1566.00,?,,,,,,,,??,??
63,,Note 2.Former countries,,,,,,,,,,,,,,,,,,,
64,—,Soviet Union,,—,—,—,—,—,—,—,—,—,—,—,2039600,2199200,916118,523591,362985,2247500,1985
65,—,Yugoslavia,,—,—,—,—,—,—,—,—,—,—,—,"239,000",278000,124000,16000,1000,318300,1988
66,—,Czechoslovakia,,—,—,—,—,—,—,—,—,—,—,—,242000,233112,169920,75000,31000,242000,1990
67,—,East Germany,,—,—,—,—,—,—,—,—,—,—,—,—,216585,153378,77350,8243,264444,1986
